"comment","status","pid","rc","command","group","user","host","pwd","inputfile","outputfile","errorfile","exception"
"TASK_1_51_10.20.48.51","FINISHED","","512","ping -c 1 -t 1 10.20.48.51","1","","","","","","",""
"TASK_1_52_10.20.48.52","FINISHED","","512","ping -c 1 -t 1 10.20.48.52","1","","","","","","",""
"TASK_1_53_10.20.48.53","FINISHED","","512","ping -c 1 -t 1 10.20.48.53","1","","","","","","",""
"TASK_1_54_10.20.48.54","FINISHED","","512","ping -c 1 -t 1 10.20.48.54","1","","","","","","",""
"TASK_1_55_10.20.48.55","FINISHED","","512","ping -c 1 -t 1 10.20.48.55","1","","","","","","",""
"TASK_1_56_10.20.48.56","FINISHED","","512","ping -c 1 -t 1 10.20.48.56","1","","","","","","",""
"TASK_1_57_10.20.48.57","FINISHED","","512","ping -c 1 -t 1 10.20.48.57","1","","","","","","",""
"TASK_1_58_10.20.48.58","FINISHED","","512","ping -c 1 -t 1 10.20.48.58","1","","","","","","",""
"TASK_1_59_10.20.48.59","FINISHED","","512","ping -c 1 -t 1 10.20.48.59","1","","","","","","",""
"TASK_1_60_10.20.48.60","FINISHED","","512","ping -c 1 -t 1 10.20.48.60","1","","","","","","",""
"TASK_1_61_10.20.48.61","FINISHED","","512","ping -c 1 -t 1 10.20.48.61","1","","","","","","",""
"TASK_1_62_10.20.48.62","FINISHED","","512","ping -c 1 -t 1 10.20.48.62","1","","","","","","",""
"TASK_1_63_10.20.48.63","FINISHED","","512","ping -c 1 -t 1 10.20.48.63","1","","","","","","",""
"TASK_1_64_10.20.48.64","FINISHED","","512","ping -c 1 -t 1 10.20.48.64","1","","","","","","",""
"TASK_1_65_10.20.48.65","FINISHED","","512","ping -c 1 -t 1 10.20.48.65","1","","","","","","",""
"TASK_1_66_10.20.48.66","FINISHED","","512","ping -c 1 -t 1 10.20.48.66","1","","","","","","",""
"TASK_1_67_10.20.48.67","FINISHED","","512","ping -c 1 -t 1 10.20.48.67","1","","","","","","",""
"TASK_1_68_10.20.48.68","FINISHED","","512","ping -c 1 -t 1 10.20.48.68","1","","","","","","",""
"TASK_1_69_10.20.48.69","FINISHED","","512","ping -c 1 -t 1 10.20.48.69","1","","","","","","",""
"TASK_1_70_10.20.48.70","FINISHED","","512","ping -c 1 -t 1 10.20.48.70","1","","","","","","",""
"TASK_1_71_10.20.48.71","FINISHED","","512","ping -c 1 -t 1 10.20.48.71","1","","","","","","",""
"TASK_1_72_10.20.48.72","FINISHED","","512","ping -c 1 -t 1 10.20.48.72","1","","","","","","",""
"TASK_1_73_10.20.48.73","FINISHED","","512","ping -c 1 -t 1 10.20.48.73","1","","","","","","",""
"TASK_1_74_10.20.48.74","FINISHED","","512","ping -c 1 -t 1 10.20.48.74","1","","","","","","",""
"TASK_1_75_10.20.48.75","FINISHED","","512","ping -c 1 -t 1 10.20.48.75","1","","","","","","",""
"TASK_1_76_10.20.48.76","FINISHED","","512","ping -c 1 -t 1 10.20.48.76","1","","","","","","",""
"TASK_1_77_10.20.48.77","FINISHED","","512","ping -c 1 -t 1 10.20.48.77","1","","","","","","",""
"TASK_1_78_10.20.48.78","FINISHED","","512","ping -c 1 -t 1 10.20.48.78","1","","","","","","",""
"TASK_1_79_10.20.48.79","FINISHED","","512","ping -c 1 -t 1 10.20.48.79","1","","","","","","",""
"TASK_1_80_10.20.48.80","FINISHED","","512","ping -c 1 -t 1 10.20.48.80","1","","","","","","",""
"TASK_1_81_10.20.48.81","FINISHED","","512","ping -c 1 -t 1 10.20.48.81","1","","","","","","",""
"TASK_1_82_10.20.48.82","FINISHED","","512","ping -c 1 -t 1 10.20.48.82","1","","","","","","",""
"TASK_1_83_10.20.48.83","FINISHED","","512","ping -c 1 -t 1 10.20.48.83","1","","","","","","",""
"TASK_1_84_10.20.48.84","FINISHED","","512","ping -c 1 -t 1 10.20.48.84","1","","","","","","",""
"TASK_1_85_10.20.48.85","FINISHED","","512","ping -c 1 -t 1 10.20.48.85","1","","","","","","",""
"TASK_1_86_10.20.48.86","FINISHED","","512","ping -c 1 -t 1 10.20.48.86","1","","","","","","",""
"TASK_1_87_10.20.48.87","FINISHED","","512","ping -c 1 -t 1 10.20.48.87","1","","","","","","",""
"TASK_1_88_10.20.48.88","FINISHED","","512","ping -c 1 -t 1 10.20.48.88","1","","","","","","",""
"TASK_1_89_10.20.48.89","FINISHED","","512","ping -c 1 -t 1 10.20.48.89","1","","","","","","",""
"TASK_1_90_10.20.48.90","FINISHED","","512","ping -c 1 -t 1 10.20.48.90","1","","","","","","",""
"TASK_1_91_10.20.48.91","FINISHED","","512","ping -c 1 -t 1 10.20.48.91","1","","","","","","",""
"TASK_1_92_10.20.48.92","FINISHED","","512","ping -c 1 -t 1 10.20.48.92","1","","","","","","",""
"TASK_1_93_10.20.48.93","FINISHED","","512","ping -c 1 -t 1 10.20.48.93","1","","","","","","",""
"TASK_1_94_10.20.48.94","FINISHED","","512","ping -c 1 -t 1 10.20.48.94","1","","","","","","",""
"TASK_1_95_10.20.48.95","FINISHED","","512","ping -c 1 -t 1 10.20.48.95","1","","","","","","",""
"TASK_1_96_10.20.48.96","FINISHED","","512","ping -c 1 -t 1 10.20.48.96","1","","","","","","",""
"TASK_1_97_10.20.48.97","FINISHED","","512","ping -c 1 -t 1 10.20.48.97","1","","","","","","",""
"TASK_1_98_10.20.48.98","FINISHED","","512","ping -c 1 -t 1 10.20.48.98","1","","","","","","",""
"TASK_1_99_10.20.48.99","FINISHED","","512","ping -c 1 -t 1 10.20.48.99","1","","","","","","",""
"TASK_1_100_10.20.48.100","FINISHED","","512","ping -c 1 -t 1 10.20.48.100","1","","","","","","",""
"TASK_1_101_10.20.48.101","FINISHED","","512","ping -c 1 -t 1 10.20.48.101","1","","","","","","",""
"TASK_1_102_10.20.48.102","FINISHED","","512","ping -c 1 -t 1 10.20.48.102","1","","","","","","",""
"TASK_1_103_10.20.48.103","FINISHED","","512","ping -c 1 -t 1 10.20.48.103","1","","","","","","",""
"TASK_1_104_10.20.48.104","FINISHED","","512","ping -c 1 -t 1 10.20.48.104","1","","","","","","",""
"TASK_1_105_10.20.48.105","FINISHED","","512","ping -c 1 -t 1 10.20.48.105","1","","","","","","",""
"TASK_1_106_10.20.48.106","FINISHED","","512","ping -c 1 -t 1 10.20.48.106","1","","","","","","",""
"TASK_1_107_10.20.48.107","FINISHED","","512","ping -c 1 -t 1 10.20.48.107","1","","","","","","",""
"TASK_1_108_10.20.48.108","FINISHED","","512","ping -c 1 -t 1 10.20.48.108","1","","","","","","",""
"TASK_1_109_10.20.48.109","FINISHED","","512","ping -c 1 -t 1 10.20.48.109","1","","","","","","",""
"TASK_1_110_10.20.48.110","FINISHED","","512","ping -c 1 -t 1 10.20.48.110","1","","","","","","",""
"TASK_1_111_10.20.48.111","FINISHED","","512","ping -c 1 -t 1 10.20.48.111","1","","","","","","",""
"TASK_1_112_10.20.48.112","FINISHED","","512","ping -c 1 -t 1 10.20.48.112","1","","","","","","",""
"TASK_1_113_10.20.48.113","FINISHED","","512","ping -c 1 -t 1 10.20.48.113","1","","","","","","",""
"TASK_1_114_10.20.48.114","FINISHED","","512","ping -c 1 -t 1 10.20.48.114","1","","","","","","",""
"TASK_1_115_10.20.48.115","FINISHED","","512","ping -c 1 -t 1 10.20.48.115","1","","","","","","",""
"TASK_1_116_10.20.48.116","FINISHED","","512","ping -c 1 -t 1 10.20.48.116","1","","","","","","",""
"TASK_1_117_10.20.48.117","FINISHED","","512","ping -c 1 -t 1 10.20.48.117","1","","","","","","",""
"TASK_1_118_10.20.48.118","FINISHED","","512","ping -c 1 -t 1 10.20.48.118","1","","","","","","",""
"TASK_1_119_10.20.48.119","FINISHED","","512","ping -c 1 -t 1 10.20.48.119","1","","","","","","",""
"TASK_1_120_10.20.48.120","FINISHED","","512","ping -c 1 -t 1 10.20.48.120","1","","","","","","",""
"TASK_1_121_10.20.48.121","FINISHED","","512","ping -c 1 -t 1 10.20.48.121","1","","","","","","",""
"TASK_1_122_10.20.48.122","FINISHED","","512","ping -c 1 -t 1 10.20.48.122","1","","","","","","",""
"TASK_1_123_10.20.48.123","FINISHED","","512","ping -c 1 -t 1 10.20.48.123","1","","","","","","",""
"TASK_1_124_10.20.48.124","FINISHED","","512","ping -c 1 -t 1 10.20.48.124","1","","","","","","",""
"TASK_1_125_10.20.48.125","FINISHED","","512","ping -c 1 -t 1 10.20.48.125","1","","","","","","",""
"TASK_1_126_10.20.48.126","FINISHED","","512","ping -c 1 -t 1 10.20.48.126","1","","","","","","",""
"TASK_1_127_10.20.48.127","FINISHED","","512","ping -c 1 -t 1 10.20.48.127","1","","","","","","",""
"TASK_1_128_10.20.48.128","FINISHED","","512","ping -c 1 -t 1 10.20.48.128","1","","","","","","",""
"TASK_1_129_10.20.48.129","FINISHED","","512","ping -c 1 -t 1 10.20.48.129","1","","","","","","",""
"TASK_1_130_10.20.48.130","FINISHED","","512","ping -c 1 -t 1 10.20.48.130","1","","","","","","",""
"TASK_1_131_10.20.48.131","FINISHED","","512","ping -c 1 -t 1 10.20.48.131","1","","","","","","",""
"TASK_1_132_10.20.48.132","FINISHED","","512","ping -c 1 -t 1 10.20.48.132","1","","","","","","",""
"TASK_1_133_10.20.48.133","FINISHED","","512","ping -c 1 -t 1 10.20.48.133","1","","","","","","",""
"TASK_1_134_10.20.48.134","FINISHED","","512","ping -c 1 -t 1 10.20.48.134","1","","","","","","",""
"TASK_1_135_10.20.48.135","FINISHED","","512","ping -c 1 -t 1 10.20.48.135","1","","","","","","",""
"TASK_1_136_10.20.48.136","FINISHED","","512","ping -c 1 -t 1 10.20.48.136","1","","","","","","",""
"TASK_1_137_10.20.48.137","FINISHED","","512","ping -c 1 -t 1 10.20.48.137","1","","","","","","",""
"TASK_1_138_10.20.48.138","FINISHED","","512","ping -c 1 -t 1 10.20.48.138","1","","","","","","",""
"TASK_1_139_10.20.48.139","FINISHED","","512","ping -c 1 -t 1 10.20.48.139","1","","","","","","",""
"TASK_1_140_10.20.48.140","FINISHED","","512","ping -c 1 -t 1 10.20.48.140","1","","","","","","",""
"TASK_1_141_10.20.48.141","FINISHED","","512","ping -c 1 -t 1 10.20.48.141","1","","","","","","",""
"TASK_1_142_10.20.48.142","FINISHED","","512","ping -c 1 -t 1 10.20.48.142","1","","","","","","",""
"TASK_1_143_10.20.48.143","FINISHED","","512","ping -c 1 -t 1 10.20.48.143","1","","","","","","",""
"TASK_1_144_10.20.48.144","FINISHED","","512","ping -c 1 -t 1 10.20.48.144","1","","","","","","",""
"TASK_1_145_10.20.48.145","FINISHED","","512","ping -c 1 -t 1 10.20.48.145","1","","","","","","",""
"TASK_1_146_10.20.48.146","FINISHED","","512","ping -c 1 -t 1 10.20.48.146","1","","","","","","",""
"TASK_1_147_10.20.48.147","FINISHED","","512","ping -c 1 -t 1 10.20.48.147","1","","","","","","",""
"TASK_1_148_10.20.48.148","FINISHED","","512","ping -c 1 -t 1 10.20.48.148","1","","","","","","",""
"TASK_1_149_10.20.48.149","FINISHED","","512","ping -c 1 -t 1 10.20.48.149","1","","","","","","",""
"TASK_1_150_10.20.48.150","FINISHED","","512","ping -c 1 -t 1 10.20.48.150","1","","","","","","",""
"TASK_1_151_10.20.48.151","FINISHED","","512","ping -c 1 -t 1 10.20.48.151","1","","","","","","",""
"TASK_1_152_10.20.48.152","FINISHED","","512","ping -c 1 -t 1 10.20.48.152","1","","","","","","",""
"TASK_1_153_10.20.48.153","FINISHED","","512","ping -c 1 -t 1 10.20.48.153","1","","","","","","",""
"TASK_1_154_10.20.48.154","FINISHED","","512","ping -c 1 -t 1 10.20.48.154","1","","","","","","",""
"TASK_1_155_10.20.48.155","FINISHED","","512","ping -c 1 -t 1 10.20.48.155","1","","","","","","",""
"TASK_1_156_10.20.48.156","FINISHED","","512","ping -c 1 -t 1 10.20.48.156","1","","","","","","",""
"TASK_1_157_10.20.48.157","FINISHED","","512","ping -c 1 -t 1 10.20.48.157","1","","","","","","",""
"TASK_1_158_10.20.48.158","FINISHED","","512","ping -c 1 -t 1 10.20.48.158","1","","","","","","",""
"TASK_1_159_10.20.48.159","FINISHED","","512","ping -c 1 -t 1 10.20.48.159","1","","","","","","",""
"TASK_1_160_10.20.48.160","FINISHED","","512","ping -c 1 -t 1 10.20.48.160","1","","","","","","",""
"TASK_1_161_10.20.48.161","FINISHED","","512","ping -c 1 -t 1 10.20.48.161","1","","","","","","",""
"TASK_1_162_10.20.48.162","FINISHED","","512","ping -c 1 -t 1 10.20.48.162","1","","","","","","",""
"TASK_1_163_10.20.48.163","FINISHED","","512","ping -c 1 -t 1 10.20.48.163","1","","","","","","",""
"TASK_1_164_10.20.48.164","FINISHED","","512","ping -c 1 -t 1 10.20.48.164","1","","","","","","",""
"TASK_1_165_10.20.48.165","FINISHED","","512","ping -c 1 -t 1 10.20.48.165","1","","","","","","",""
"TASK_1_166_10.20.48.166","FINISHED","","512","ping -c 1 -t 1 10.20.48.166","1","","","","","","",""
"TASK_1_167_10.20.48.167","FINISHED","","512","ping -c 1 -t 1 10.20.48.167","1","","","","","","",""
"TASK_1_168_10.20.48.168","FINISHED","","512","ping -c 1 -t 1 10.20.48.168","1","","","","","","",""
"TASK_1_169_10.20.48.169","FINISHED","","512","ping -c 1 -t 1 10.20.48.169","1","","","","","","",""
"TASK_1_170_10.20.48.170","FINISHED","","512","ping -c 1 -t 1 10.20.48.170","1","","","","","","",""
"TASK_1_171_10.20.48.171","FINISHED","","512","ping -c 1 -t 1 10.20.48.171","1","","","","","","",""
"TASK_1_172_10.20.48.172","FINISHED","","512","ping -c 1 -t 1 10.20.48.172","1","","","","","","",""
"TASK_1_173_10.20.48.173","FINISHED","","512","ping -c 1 -t 1 10.20.48.173","1","","","","","","",""
"TASK_1_174_10.20.48.174","FINISHED","","512","ping -c 1 -t 1 10.20.48.174","1","","","","","","",""
"TASK_1_175_10.20.48.175","FINISHED","","512","ping -c 1 -t 1 10.20.48.175","1","","","","","","",""
"TASK_1_176_10.20.48.176","FINISHED","","512","ping -c 1 -t 1 10.20.48.176","1","","","","","","",""
"TASK_1_177_10.20.48.177","FINISHED","","512","ping -c 1 -t 1 10.20.48.177","1","","","","","","",""
"TASK_1_178_10.20.48.178","FINISHED","","512","ping -c 1 -t 1 10.20.48.178","1","","","","","","",""
"TASK_1_179_10.20.48.179","FINISHED","","512","ping -c 1 -t 1 10.20.48.179","1","","","","","","",""
"TASK_1_180_10.20.48.180","FINISHED","","512","ping -c 1 -t 1 10.20.48.180","1","","","","","","",""
"TASK_1_181_10.20.48.181","FINISHED","","512","ping -c 1 -t 1 10.20.48.181","1","","","","","","",""
"TASK_1_182_10.20.48.182","FINISHED","","512","ping -c 1 -t 1 10.20.48.182","1","","","","","","",""
"TASK_1_183_10.20.48.183","FINISHED","","512","ping -c 1 -t 1 10.20.48.183","1","","","","","","",""
"TASK_1_184_10.20.48.184","FINISHED","","512","ping -c 1 -t 1 10.20.48.184","1","","","","","","",""
"TASK_1_185_10.20.48.185","FINISHED","","512","ping -c 1 -t 1 10.20.48.185","1","","","","","","",""
"TASK_1_186_10.20.48.186","FINISHED","","512","ping -c 1 -t 1 10.20.48.186","1","","","","","","",""
"TASK_1_187_10.20.48.187","FINISHED","","512","ping -c 1 -t 1 10.20.48.187","1","","","","","","",""
"TASK_1_188_10.20.48.188","FINISHED","","512","ping -c 1 -t 1 10.20.48.188","1","","","","","","",""
"TASK_1_189_10.20.48.189","FINISHED","","512","ping -c 1 -t 1 10.20.48.189","1","","","","","","",""
"TASK_1_190_10.20.48.190","FINISHED","","512","ping -c 1 -t 1 10.20.48.190","1","","","","","","",""
"TASK_1_191_10.20.48.191","FINISHED","","512","ping -c 1 -t 1 10.20.48.191","1","","","","","","",""
"TASK_1_192_10.20.48.192","FINISHED","","512","ping -c 1 -t 1 10.20.48.192","1","","","","","","",""
"TASK_1_193_10.20.48.193","FINISHED","","512","ping -c 1 -t 1 10.20.48.193","1","","","","","","",""
"TASK_1_194_10.20.48.194","FINISHED","","512","ping -c 1 -t 1 10.20.48.194","1","","","","","","",""
"TASK_1_195_10.20.48.195","FINISHED","","512","ping -c 1 -t 1 10.20.48.195","1","","","","","","",""
"TASK_1_196_10.20.48.196","FINISHED","","512","ping -c 1 -t 1 10.20.48.196","1","","","","","","",""
"TASK_1_197_10.20.48.197","FINISHED","","512","ping -c 1 -t 1 10.20.48.197","1","","","","","","",""
"TASK_1_198_10.20.48.198","FINISHED","","512","ping -c 1 -t 1 10.20.48.198","1","","","","","","",""
"TASK_1_199_10.20.48.199","FINISHED","","512","ping -c 1 -t 1 10.20.48.199","1","","","","","","",""
"TASK_1_200_10.20.48.200","FINISHED","","512","ping -c 1 -t 1 10.20.48.200","1","","","","","","",""
"TASK_1_201_10.20.48.201","FINISHED","","512","ping -c 1 -t 1 10.20.48.201","1","","","","","","",""
"TASK_1_202_10.20.48.202","FINISHED","","512","ping -c 1 -t 1 10.20.48.202","1","","","","","","",""
"TASK_1_203_10.20.48.203","FINISHED","","512","ping -c 1 -t 1 10.20.48.203","1","","","","","","",""
"TASK_1_204_10.20.48.204","FINISHED","","512","ping -c 1 -t 1 10.20.48.204","1","","","","","","",""
"TASK_1_205_10.20.48.205","FINISHED","","512","ping -c 1 -t 1 10.20.48.205","1","","","","","","",""
"TASK_1_206_10.20.48.206","FINISHED","","512","ping -c 1 -t 1 10.20.48.206","1","","","","","","",""
"TASK_1_207_10.20.48.207","FINISHED","","512","ping -c 1 -t 1 10.20.48.207","1","","","","","","",""
"TASK_1_208_10.20.48.208","FINISHED","","512","ping -c 1 -t 1 10.20.48.208","1","","","","","","",""
"TASK_1_209_10.20.48.209","FINISHED","","512","ping -c 1 -t 1 10.20.48.209","1","","","","","","",""
"TASK_1_210_10.20.48.210","FINISHED","","512","ping -c 1 -t 1 10.20.48.210","1","","","","","","",""
"TASK_1_211_10.20.48.211","FINISHED","","512","ping -c 1 -t 1 10.20.48.211","1","","","","","","",""
"TASK_1_212_10.20.48.212","FINISHED","","512","ping -c 1 -t 1 10.20.48.212","1","","","","","","",""
"TASK_1_213_10.20.48.213","FINISHED","","512","ping -c 1 -t 1 10.20.48.213","1","","","","","","",""
"TASK_1_214_10.20.48.214","FINISHED","","512","ping -c 1 -t 1 10.20.48.214","1","","","","","","",""
"TASK_1_215_10.20.48.215","FINISHED","","512","ping -c 1 -t 1 10.20.48.215","1","","","","","","",""
"TASK_1_216_10.20.48.216","FINISHED","","512","ping -c 1 -t 1 10.20.48.216","1","","","","","","",""
"TASK_1_217_10.20.48.217","FINISHED","","512","ping -c 1 -t 1 10.20.48.217","1","","","","","","",""
"TASK_1_218_10.20.48.218","FINISHED","","512","ping -c 1 -t 1 10.20.48.218","1","","","","","","",""
"TASK_1_219_10.20.48.219","FINISHED","","512","ping -c 1 -t 1 10.20.48.219","1","","","","","","",""
"TASK_1_220_10.20.48.220","FINISHED","","512","ping -c 1 -t 1 10.20.48.220","1","","","","","","",""
"TASK_1_221_10.20.48.221","FINISHED","","512","ping -c 1 -t 1 10.20.48.221","1","","","","","","",""
"TASK_1_222_10.20.48.222","FINISHED","","512","ping -c 1 -t 1 10.20.48.222","1","","","","","","",""
"TASK_1_223_10.20.48.223","FINISHED","","512","ping -c 1 -t 1 10.20.48.223","1","","","","","","",""
"TASK_1_224_10.20.48.224","FINISHED","","512","ping -c 1 -t 1 10.20.48.224","1","","","","","","",""
"TASK_1_225_10.20.48.225","FINISHED","","512","ping -c 1 -t 1 10.20.48.225","1","","","","","","",""
"TASK_1_226_10.20.48.226","FINISHED","","512","ping -c 1 -t 1 10.20.48.226","1","","","","","","",""
"TASK_1_227_10.20.48.227","FINISHED","","512","ping -c 1 -t 1 10.20.48.227","1","","","","","","",""
"TASK_1_228_10.20.48.228","FINISHED","","512","ping -c 1 -t 1 10.20.48.228","1","","","","","","",""
"TASK_1_229_10.20.48.229","FINISHED","","512","ping -c 1 -t 1 10.20.48.229","1","","","","","","",""
"TASK_1_230_10.20.48.230","FINISHED","","512","ping -c 1 -t 1 10.20.48.230","1","","","","","","",""
"TASK_1_231_10.20.48.231","FINISHED","","512","ping -c 1 -t 1 10.20.48.231","1","","","","","","",""
"TASK_1_232_10.20.48.232","FINISHED","","512","ping -c 1 -t 1 10.20.48.232","1","","","","","","",""
"TASK_1_233_10.20.48.233","FINISHED","","512","ping -c 1 -t 1 10.20.48.233","1","","","","","","",""
"TASK_1_234_10.20.48.234","FINISHED","","512","ping -c 1 -t 1 10.20.48.234","1","","","","","","",""
"TASK_1_235_10.20.48.235","FINISHED","","512","ping -c 1 -t 1 10.20.48.235","1","","","","","","",""
"TASK_1_236_10.20.48.236","FINISHED","","512","ping -c 1 -t 1 10.20.48.236","1","","","","","","",""
"TASK_1_237_10.20.48.237","FINISHED","","512","ping -c 1 -t 1 10.20.48.237","1","","","","","","",""
"TASK_1_238_10.20.48.238","FINISHED","","512","ping -c 1 -t 1 10.20.48.238","1","","","","","","",""
"TASK_1_239_10.20.48.239","FINISHED","","512","ping -c 1 -t 1 10.20.48.239","1","","","","","","",""
"TASK_1_240_10.20.48.240","FINISHED","","512","ping -c 1 -t 1 10.20.48.240","1","","","","","","",""
"TASK_1_241_10.20.48.241","FINISHED","","512","ping -c 1 -t 1 10.20.48.241","1","","","","","","",""
"TASK_1_242_10.20.48.242","FINISHED","","512","ping -c 1 -t 1 10.20.48.242","1","","","","","","",""
"TASK_1_243_10.20.48.243","FINISHED","","512","ping -c 1 -t 1 10.20.48.243","1","","","","","","",""
"TASK_1_244_10.20.48.244","FINISHED","","512","ping -c 1 -t 1 10.20.48.244","1","","","","","","",""
"TASK_1_245_10.20.48.245","FINISHED","","512","ping -c 1 -t 1 10.20.48.245","1","","","","","","",""
"TASK_1_246_10.20.48.246","FINISHED","","512","ping -c 1 -t 1 10.20.48.246","1","","","","","","",""
"TASK_1_247_10.20.48.247","FINISHED","","512","ping -c 1 -t 1 10.20.48.247","1","","","","","","",""
"TASK_1_248_10.20.48.248","FINISHED","","512","ping -c 1 -t 1 10.20.48.248","1","","","","","","",""
